[2026-08-23 04:27:37.821865] ====================================================================================================
[2026-08-23 04:27:37.821952] Branching from: experiments/exp000_muon_and_adamw/muon/seed_1337/rules.two_d.lr_0.02 step=500 branch_specs=['muon', 'svdp_m025', 'svdp_z000', 'svdp_p025']
[2026-08-23 04:27:37.822014] Config: TrainConfig(data_source='data/fineweb10B_v500', train_steps=8000, report_steps=200, seq_len=1024, val_size=2097152, batch_size=32768, mbs=32, vocab_size=500, num_layers=1, model_dim=192, train_data_pattern='fineweb_train_*.bin', val_data_pattern='fineweb_val_*.bin', seed=1337, model_type='gpt', expansion_ratio=4.0, head_dim=64, num_heads=3, embed_dim=None, num_tokens=None, zero_proj_init=False, lr_cooldown_frac=0.7, geon_eps=1e-10, geon_s_min=1e-05, geon_s_max=100000.0, checkpoint_steps=[0, 1, 10, 100, 500, 1000, 2000, 4000, 6000, 8000])
[2026-08-23 04:27:37.822072] Rules: [Rule(name='embed', patterns=['embed.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.3, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='proj', patterns=['proj.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003125, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='one_d', patterns=['*.bias', '*.gains'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.01, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='two_d', patterns=['blocks.*.attn.*.weight', 'blocks.*.mlp.*.weight'], start=0, end=None, update='muon', sizing='learning_rate', lr=0.02, betas=(0.9, 0.95), nesterov=False, wd_raw=0.0002, coeff=1.0, warmup_steps=0)]
[2026-08-23 04:27:37.822103] end_step: 500
[2026-08-23 04:27:37.822130] ====================================================================================================
[2026-08-23 04:27:37.963212]   [compile] trunk: 0.01s
[2026-08-23 04:27:38.002254] loaded checkpoint experiments/exp000_muon_and_adamw/muon/seed_1337/rules.two_d.lr_0.02/checkpoints/step_500.pt at step 500
[2026-08-23 04:27:38.002744] forking at step 500 ...
[2026-08-23 04:27:38.259741]   [branch @ step 500] pre-fork val_loss=3.01660
[2026-08-23 04:27:38.260034]   [branch @ step 500] 'muon' (index=0) -> {'rules': [{'name': 'embed', 'patterns': ['embed.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.3, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'proj', 'patterns': ['proj.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.003125, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'one_d', 'patterns': ['*.bias', '*.gains'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.01, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'two_d_q', 'patterns': ['blocks.*.attn.q.weight'], 'update': 'muon', 'sizing': 'learning_rate', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_k', 'patterns': ['blocks.*.attn.k.weight'], 'update': 'muon', 'sizing': 'learning_rate', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_v', 'patterns': ['blocks.*.attn.v.weight'], 'update': 'muon', 'sizing': 'learning_rate', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_attn_proj', 'patterns': ['blocks.*.attn.proj.weight'], 'update': 'muon', 'sizing': 'learning_rate', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_fc', 'patterns': ['blocks.*.mlp.fc.weight'], 'update': 'muon', 'sizing': 'learning_rate', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_proj', 'patterns': ['blocks.*.mlp.proj.weight'], 'update': 'muon', 'sizing': 'learning_rate', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}]}
[2026-08-23 04:27:38.279878]   [compile] muon: 0.01s
[2026-08-23 04:27:38.282500]   [branch @ step 500] 'svdp_m025' (index=1) -> {'rules': [{'name': 'embed', 'patterns': ['embed.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.3, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'proj', 'patterns': ['proj.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.003125, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'one_d', 'patterns': ['*.bias', '*.gains'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.01, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'two_d_q', 'patterns': ['blocks.*.attn.q.weight'], 'update': ['svd_pow', -0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_k', 'patterns': ['blocks.*.attn.k.weight'], 'update': ['svd_pow', -0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_v', 'patterns': ['blocks.*.attn.v.weight'], 'update': ['svd_pow', -0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_attn_proj', 'patterns': ['blocks.*.attn.proj.weight'], 'update': ['svd_pow', -0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_fc', 'patterns': ['blocks.*.mlp.fc.weight'], 'update': ['svd_pow', -0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_proj', 'patterns': ['blocks.*.mlp.proj.weight'], 'update': ['svd_pow', -0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}]}
[2026-08-23 04:27:38.301855]   [compile] svdp_m025: 0.01s
[2026-08-23 04:27:38.304045]   [branch @ step 500] 'svdp_z000' (index=2) -> {'rules': [{'name': 'embed', 'patterns': ['embed.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.3, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'proj', 'patterns': ['proj.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.003125, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'one_d', 'patterns': ['*.bias', '*.gains'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.01, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'two_d_q', 'patterns': ['blocks.*.attn.q.weight'], 'update': ['svd_pow', 0.0], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_k', 'patterns': ['blocks.*.attn.k.weight'], 'update': ['svd_pow', 0.0], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_v', 'patterns': ['blocks.*.attn.v.weight'], 'update': ['svd_pow', 0.0], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_attn_proj', 'patterns': ['blocks.*.attn.proj.weight'], 'update': ['svd_pow', 0.0], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_fc', 'patterns': ['blocks.*.mlp.fc.weight'], 'update': ['svd_pow', 0.0], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_proj', 'patterns': ['blocks.*.mlp.proj.weight'], 'update': ['svd_pow', 0.0], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}]}
[2026-08-23 04:27:38.322530]   [compile] svdp_z000: 0.01s
[2026-08-23 04:27:38.325046]   [branch @ step 500] 'svdp_p025' (index=3) -> {'rules': [{'name': 'embed', 'patterns': ['embed.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.3, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'proj', 'patterns': ['proj.weight'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.003125, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'one_d', 'patterns': ['*.bias', '*.gains'], 'steps': [0, None], 'update': 'adamw', 'sizing': 'learning_rate', 'lr': 0.01, 'betas': [0.8, 0.95], 'nesterov': False, 'wd_raw': 0.0}, {'name': 'two_d_q', 'patterns': ['blocks.*.attn.q.weight'], 'update': ['svd_pow', 0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_k', 'patterns': ['blocks.*.attn.k.weight'], 'update': ['svd_pow', 0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_v', 'patterns': ['blocks.*.attn.v.weight'], 'update': ['svd_pow', 0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_attn_proj', 'patterns': ['blocks.*.attn.proj.weight'], 'update': ['svd_pow', 0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_fc', 'patterns': ['blocks.*.mlp.fc.weight'], 'update': ['svd_pow', 0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}, {'name': 'two_d_mlp_proj', 'patterns': ['blocks.*.mlp.proj.weight'], 'update': ['svd_pow', 0.25], 'sizing': 'kl_match', 'steps': [0, None], 'lr': 0.02, 'betas': [0.9, 0.95], 'nesterov': False, 'wd_raw': 0.0002}]}
[2026-08-23 04:27:38.342389]   [compile] svdp_p025: 0.01s
[2026-08-23 04:27:38.655482]     [branch @ step 500] 'muon' iter=0 applied train_loss=3.00275 kl=0.00387327 scale=1.0000 post_val_loss=3.01843
[2026-08-23 04:27:42.217539]     [branch @ step 500] 'svdp_m025' iter=0 applied train_loss=3.00275 kl=0.0036857 scale=1.0000 post_val_loss=3.01765
[2026-08-23 04:27:45.780311]     [branch @ step 500] 'svdp_z000' iter=0 applied train_loss=3.00275 kl=0.00386705 scale=1.0000 post_val_loss=3.01840
[2026-08-23 04:27:49.341578]     [branch @ step 500] 'svdp_p025' iter=0 applied train_loss=3.00275 kl=0.00397198 scale=1.0000 post_val_loss=3.01896
[2026-08-23 04:27:49.369010]   [branch @ step 500] checkpointed branches at step=501
[2026-08-23 04:27:49.679872]     [branch @ step 500] 'muon' iter=1 applied train_loss=3.03764 kl=0.00288875 scale=1.0000 post_val_loss=3.01889
[2026-08-23 04:27:53.241536]     [branch @ step 500] 'svdp_m025' iter=1 applied train_loss=3.03648 kl=0.00282669 scale=1.0000 post_val_loss=3.01841
[2026-08-23 04:27:56.800061]     [branch @ step 500] 'svdp_z000' iter=1 applied train_loss=3.03762 kl=0.00288641 scale=1.0000 post_val_loss=3.01888
[2026-08-23 04:28:00.361459]     [branch @ step 500] 'svdp_p025' iter=1 applied train_loss=3.03828 kl=0.00280677 scale=1.0000 post_val_loss=3.01879
[2026-08-23 04:28:00.679347]     [branch @ step 500] 'muon' iter=2 applied train_loss=3.03414 kl=0.00315595 scale=1.0000 post_val_loss=3.01540
[2026-08-23 04:28:04.241326]     [branch @ step 500] 'svdp_m025' iter=2 applied train_loss=3.03388 kl=0.00285838 scale=1.0000 post_val_loss=3.01584
[2026-08-23 04:28:07.799799]     [branch @ step 500] 'svdp_z000' iter=2 applied train_loss=3.03404 kl=0.00316454 scale=1.0000 post_val_loss=3.01543
[2026-08-23 04:28:11.365586]     [branch @ step 500] 'svdp_p025' iter=2 applied train_loss=3.03374 kl=0.00342233 scale=1.0000 post_val_loss=3.01456
[2026-08-23 04:28:11.685944]     [branch @ step 500] 'muon' iter=3 applied train_loss=2.97395 kl=0.00279361 scale=1.0000 post_val_loss=3.01495
[2026-08-23 04:28:15.248816]     [branch @ step 500] 'svdp_m025' iter=3 applied train_loss=2.97453 kl=0.00264097 scale=1.0000 post_val_loss=3.01522
[2026-08-23 04:28:18.808421]     [branch @ step 500] 'svdp_z000' iter=3 applied train_loss=2.97390 kl=0.00279581 scale=1.0000 post_val_loss=3.01496
[2026-08-23 04:28:22.367879]     [branch @ step 500] 'svdp_p025' iter=3 applied train_loss=2.97315 kl=0.0028731 scale=1.0000 post_val_loss=3.01408
[2026-08-23 04:28:22.393569]   [branch @ step 500] checkpointed branches at step=504
[2026-08-23 04:28:22.704653]     [branch @ step 500] 'muon' iter=4 applied train_loss=2.96590 kl=0.00355352 scale=1.0000 post_val_loss=3.01433
[2026-08-23 04:28:26.264757]     [branch @ step 500] 'svdp_m025' iter=4 applied train_loss=2.96571 kl=0.00337843 scale=1.0000 post_val_loss=3.01572
[2026-08-23 04:28:29.825068]     [branch @ step 500] 'svdp_z000' iter=4 applied train_loss=2.96594 kl=0.00355118 scale=1.0000 post_val_loss=3.01432
[2026-08-23 04:28:33.386287]     [branch @ step 500] 'svdp_p025' iter=4 applied train_loss=2.96586 kl=0.0038238 scale=1.0000 post_val_loss=3.01175
[2026-08-23 04:28:33.884633]     [branch @ step 500] 'muon' iter=6 applied train_loss=3.02911 kl=0.00243341 scale=1.0000 post_val_loss=3.01497
[2026-08-23 04:28:37.447162]     [branch @ step 500] 'svdp_m025' iter=6 applied train_loss=3.03087 kl=0.00225013 scale=1.0000 post_val_loss=3.01669
[2026-08-23 04:28:41.011430]     [branch @ step 500] 'svdp_z000' iter=6 applied train_loss=3.02914 kl=0.00242008 scale=1.0000 post_val_loss=3.01494
[2026-08-23 04:28:44.578107]     [branch @ step 500] 'svdp_p025' iter=6 applied train_loss=3.02653 kl=0.00235624 scale=1.0000 post_val_loss=3.01227
[2026-08-23 04:28:45.079309]     [branch @ step 500] 'muon' iter=8 applied train_loss=3.09930 kl=0.00440367 scale=1.0000 post_val_loss=3.01287
[2026-08-23 04:28:48.644717]     [branch @ step 500] 'svdp_m025' iter=8 applied train_loss=3.10032 kl=0.00408671 scale=1.0000 post_val_loss=3.01533
[2026-08-23 04:28:52.216484]     [branch @ step 500] 'svdp_z000' iter=8 applied train_loss=3.09933 kl=0.00435437 scale=1.0000 post_val_loss=3.01281
[2026-08-23 04:28:55.780011]     [branch @ step 500] 'svdp_p025' iter=8 applied train_loss=3.09722 kl=0.0045119 scale=1.0000 post_val_loss=3.00960
[2026-08-23 04:28:56.279474]     [branch @ step 500] 'muon' iter=10 applied train_loss=2.99272 kl=0.00260967 scale=1.0000 post_val_loss=3.01797
[2026-08-23 04:28:59.839068]     [branch @ step 500] 'svdp_m025' iter=10 applied train_loss=2.99490 kl=0.00253525 scale=1.0000 post_val_loss=3.02038
[2026-08-23 04:29:03.401735]     [branch @ step 500] 'svdp_z000' iter=10 applied train_loss=2.99281 kl=0.0026337 scale=1.0000 post_val_loss=3.01798
[2026-08-23 04:29:06.967958]     [branch @ step 500] 'svdp_p025' iter=10 applied train_loss=2.99029 kl=0.00265422 scale=1.0000 post_val_loss=3.01404
[2026-08-23 04:29:07.466180]     [branch @ step 500] 'muon' iter=12 applied train_loss=3.03662 kl=0.00221598 scale=1.0000 post_val_loss=3.02218
[2026-08-23 04:29:11.031939]     [branch @ step 500] 'svdp_m025' iter=12 applied train_loss=3.03886 kl=0.00216238 scale=1.0000 post_val_loss=3.02501
[2026-08-23 04:29:14.594803]     [branch @ step 500] 'svdp_z000' iter=12 applied train_loss=3.03652 kl=0.00221821 scale=1.0000 post_val_loss=3.02212
[2026-08-23 04:29:18.159542]     [branch @ step 500] 'svdp_p025' iter=12 applied train_loss=3.03365 kl=0.0022416 scale=1.0000 post_val_loss=3.01750
